order_id,order_date,amount,currency,customer_name,channel
HSNE2480865,2026-04-29,7003.76,INR,Manish Tiwari,CARD
HSNE2402604,2026-04-13,27019.61,INR,Sneha Pillai,CARD
HSNE2472904,2026-05-13,799.00,INR,Pooja Nair,UPI
HSNE2436910,2026-04-27,33596.92,INR,Shreya Bansal,UPI
HSNE2403957,2026-05-12,14258.14,INR,Pranav Hegde,CARD
HSNE-2482777,2026-04-28,10834.74,INR,Vikram Singh,CARD
HSNE2474274,2026-05-15,1499.00,INR,Ananya Sharma,NETBANKING
HSNE2441161,2026-04-06,5428.85,INR,Nandini Kaur,NETBANKING
HSNE2481219,2026-05-14,499.00,INR,Aarav Patel,NETBANKING
HSNE2424549,2026-04-19,10893.17,INR,Nikhil Joshi,CARD
HSNE2439286,2026-05-11,9996.79,INR,Diya Banerjee,NETBANKING
HSNE2438927,2026-04-23,29518.54,INR,Shreya Bansal,UPI
HSNE2404471,2026-05-06,2499.00,INR,Kavya Reddy,CARD
HSNE2478134,2026-05-11,9932.13,INR,Pooja Nair,CARD
HSNE2408811,2026-04-09,22759.00,INR,Riya Chakraborty,CARD
HSNE2479407,2026-04-23,3990.60,INR,Gaurav Saxena,NETBANKING
HSNE2408886,2026-04-15,2499.00,INR,Shreya Bansal,NETBANKING
HSNE2427417,2026-04-06,6711.02,INR,Riya Chakraborty,NETBANKING
HSNE2417011,2026-05-19,24650.10,INR,Yash Agarwal,CARD
HSNE2476981,2026-04-30,2499.00,INR,Sneha Pillai,CARD
HSNE2424757,2026-05-06,10465.70,INR,Sneha Pillai,UPI
HSNE2405282,2026-04-12,7202.76,INR,Pranav Hegde,NETBANKING
HSNE2447303,2026-05-03,1299.00,INR,Pranav Hegde,CARD
HSNE2478119,2026-04-19,11769.88,INR,Leela Krishnan,CARD
HSNE2447506,2026-04-08,8094.17,INR,Vikram Singh,UPI
HSNE2446613,2026-04-26,499.00,INR,Riya Chakraborty,CARD
HSNE2427255,2026-04-07,499.00,INR,Manish Tiwari,CARD
HSNE2469089,2026-04-19,20182.86,INR,Harsh Vardhan,UPI
HSNE2414956,2026-04-17,1999.00,INR,Aditya Menon,CARD
HSNE2453226,2026-05-12,10053.09,INR,Manish Tiwari,UPI
HSNE2477392,2026-04-15,37498.97,INR,Tanvi Rao,CARD
HSNE2437855,2026-04-11,799.00,INR,Gaurav Saxena,NETBANKING
