order_id,order_date,amount,currency,customer_name,channel
pay_mXjiQD9iVx,2025-12-04,15713.57,INR,Rohit Kulkarni,UPI
pay_04DDTOM81y,2026-01-11,16790.57,INR,Shreya Bansal,UPI
pay_04DDTOM81X,2026-02-06,50337.04,INR,Pooja Nair,UPI
pay_S7V3OQFx7w,2026-01-01,15035.00,INR,Kunal Deshmukh,NETBANKING
pay_gftuGVDeRP,2026-01-26,1001.00,INR,Gaurav Saxena,NETBANKING
pay_lGVnxIyYAJ,2026-01-12,8385.06,INR,Tanvi Rao,UPI
pay_GVrHaNGigK,2025-11-30,1563.41,INR,Kunal Deshmukh,UPI
pay_5pmbCKypDv,2026-02-03,501.00,INR,Sneha Pillai,NETBANKING
pay_chr719P8yG,2025-12-13,143934.07,INR,Pranav Hegde,UPI
pay_6ntVty0MZn,2025-12-28,145027.11,INR,Sneha Pillai,UPI
pay_v2PQiUPYiw,2025-11-29,38276.46,INR,Sneha Pillai,UPI
pay_mGE50rxrOI,2025-12-06,179474.11,INR,Vikram Singh,UPI
pay_5nlTZRkJI5,2026-01-11,54834.06,INR,Diya Banerjee,CARD
pay_N1Y3kUPZ49,2026-01-20,26932.49,INR,Gaurav Saxena,UPI
pay_eculxgkkX5,2026-01-31,173611.89,INR,Vikram Singh,UPI
pay_1F8SH8giG6,2025-12-03,93315.67,INR,Kavya Reddy,UPI
pay_bGLqyd0fQu,2025-12-18,25834.64,INR,Tanvi Rao,UPI
pay_XON6JqPbNY,2025-12-28,3173.04,INR,Siddharth Bose,CARD
pay_LQD11WM1PT,2026-01-16,250.00,INR,Sneha Pillai,NETBANKING
pay_J8ZCP4Rdmm,2026-01-26,134074.87,INR,Aditya Menon,UPI
pay_UAQgdASLXk,2025-12-18,113974.61,INR,Vikram Singh,NETBANKING
pay_VgO35We8e4,2026-01-04,101.00,INR,Siddharth Bose,UPI
pay_6vB3QM3230,2025-12-13,3243.64,INR,Aarav Patel,UPI
pay_4TRhvjFLrg,2026-01-06,41826.48,INR,Kunal Deshmukh,CARD
